Date,IBM,T,NKE,AAPL
1/6/16,135.169998,34.060001,61.490002,100.699997
1/5/16,135.850006,34.59,62.380001,102.709999
1/4/16,135.949997,34.349998,61.52,105.349998
12/31/15,137.619995,34.41,62.5,105.260002
12/30/15,139.339996,34.740002,63.25,107.32
12/29/15,139.779999,34.93,64.260002,108.739998
12/28/15,137.610001,34.759998,63.810001,106.82
12/24/15,138.25,34.66,63.18,108.029999
12/23/15,138.539993,34.779999,128.710007,108.610001
12/22/15,137.929993,34.41,131.850006,107.230003
12/21/15,135.5,34.09,129.800003,107.330002
12/18/15,134.899994,33.599998,128.520004,106.029999
12/17/15,136.75,34.029999,130.220001,108.980003
12/16/15,139.289993,34.400002,130.929993,111.339996
12/15/15,137.789993,33.810001,128.610001,110.489998
12/14/15,135.929993,33.599998,127.860001,112.480003
12/11/15,134.570007,33.169998,126.290001,113.18
12/10/15,136.779999,33.669998,128.639999,116.169998
12/9/15,136.610001,33.57,128.839996,115.620003
12/8/15,138.050003,33.849998,131.699997,118.230003
12/7/15,139.550003,34.27,131.600006,118.279999
12/4/15,140.429993,34.110001,132.330002,119.029999
12/3/15,138.919998,33.099998,129.119995,115.199997
12/2/15,139.699997,33.560001,132.649994,116.279999
12/1/15,141.279999,33.77,133.309998,117.339996
11/30/15,139.419998,33.669998,132.279999,118.300003
11/27/15,138.460007,33.57,134.330002,117.809998
11/25/15,138,33.450001,134.130005,118.029999
11/24/15,138.600006,33.389999,132.509995,118.879997
11/23/15,138.460007,33.459999,132.460007,117.75
11/20/15,138.5,33.66,132.649994,119.300003
11/19/15,136.740005,33.619999,125.779999,118.779999
11/18/15,135.820007,33.540001,125.779999,117.290001
11/17/15,133.820007,33.259998,122.580002,113.690002
11/16/15,133.710007,33.040001,123.459999,114.18
11/13/15,131.75,32.310001,121.860001,112.339996
11/12/15,133.039993,32.689999,125.980003,115.720001
11/11/15,135.020004,32.919998,127.419998,116.110001
11/10/15,135.470001,32.790001,130,116.769997
11/9/15,135.309998,32.84,130.479996,120.57
11/6/15,138.25,33.16,131.779999,121.059998
11/5/15,139.889999,33.34,131.860001,120.919998
11/4/15,141.630005,33.48,130.360001,122
11/3/15,141.880005,33.630001,131.399994,122.57
11/2/15,140.369995,33.610001,131.190002,121.18
10/30/15,140.080002,33.509998,131.029999,119.5
10/29/15,140.550003,33.549999,131.119995,120.529999
10/28/15,140.830002,33.419998,131.289993,119.269997
10/27/15,137.860001,33.209999,130.820007,114.550003
10/26/15,143.660004,33.66,131.380005,115.279999
10/23/15,144.679993,33.740002,130.529999,119.080002
10/22/15,144.089996,33.959999,132.410004,115.5
10/21/15,140.919998,33.599998,132.470001,113.760002
10/20/15,140.639999,33.75,132.369995,113.769997
10/19/15,149.220001,33.630001,133.210007,111.730003
10/16/15,150.389999,33.830002,130.470001,111.040001
10/15/15,150.089996,33.490002,128.789993,111.860001
10/14/15,150.009995,33.27,125.839996,110.209999
10/13/15,149.619995,33.220001,125.809998,111.790001
10/12/15,151.139999,33.299999,126.43,111.599998
10/9/15,152.389999,33.139999,124.940002,112.120003
10/8/15,152.279999,33.400002,124.910004,109.5
10/7/15,150.089996,33.119999,122.099998,110.779999
10/6/15,148.779999,33.310001,123.190002,111.309998
10/5/15,149.039993,33.43,124.269997,110.779999
10/2/15,144.580002,32.639999,125.209999,110.379997
10/1/15,143.589996,32.529999,123.830002,109.580002
9/30/15,144.970001,32.580002,122.970001,110.300003
9/29/15,142.470001,32.07,119.669998,109.059998
9/28/15,142.520004,31.9,122.139999,112.440002
9/25/15,145.419998,32.330002,125,114.709999
