Date,AMZN,GOOG,AAPL
2015-07-31,536.150024,625.609985,116.176353
2015-07-30,536.76001,632.590027,117.201164
2015-07-29,529,631.929993,117.794968
2015-07-28,526.030029,628,118.168503
2015-07-27,531.409973,627.26001,117.584259
2015-07-24,529.419983,623.559998,119.241196
2015-07-23,482.179993,644.280029,119.873306
2015-07-22,488.269989,662.099976,119.930779
2015-07-21,488,662.299988,125.227188
2015-07-20,488.100006,663.02002,126.491463
2015-07-17,483.01001,672.929993,124.14492
2015-07-16,475.480011,579.849976,123.081818
2015-07-15,461.190002,560.219971,121.463196
2015-07-14,465.570007,561.099976,120.304298
2015-07-13,455.570007,546.549988,120.352196
2015-07-10,443.51001,530.130005,118.072723
2015-07-09,434.390015,520.679993,114.998314
2015-07-08,429.700012,516.830017,117.392715
2015-07-07,436.720001,525.02002,120.380928
2015-07-06,436.040009,522.859985,120.677834
2015-07-02,437.709991,523.400024,121.099236
2015-07-01,437.390015,521.840027,121.252487
2015-06-30,434.089996,520.51001,120.131905
2015-06-29,429.859985,521.52002,119.269913
2015-06-26,438.100006,531.690002,121.396149
2015-06-25,440.100006,535.22998,122.114471
2015-06-24,440.839996,537.840027,122.698708
2015-06-23,445.98999,540.47998,121.664322
2015-06-22,436.290009,538.190002,122.219826
2015-06-19,434.920013,536.690002,121.252487
2015-06-18,439.390015,536.72998,122.478409
2015-06-17,427.809998,529.26001,121.92292
2015-06-16,427.26001,528.150024,122.210251
2015-06-15,423.670013,527.200012,121.558975
2015-06-12,429.920013,532.330017,121.798416
2015-06-11,432.970001,534.609985,123.158417
2015-06-10,430.769989,536.690002,123.436188
2015-06-09,425.480011,526.690002,122.037849
2015-06-08,423.5,526.830017,122.401802
2015-06-05,426.950012,533.330017,123.215904
2015-06-04,430.779999,536.700012,123.895912
2015-06-03,436.589996,540.309998,124.623802
2015-06-02,430.98999,539.179993,124.470581
2015-06-01,430.920013,533.98999,125.026062
2015-05-29,429.230011,532.109985,124.777046
2015-05-28,426.570007,539.780029,126.213676
2015-05-27,431.420013,539.789978,126.462708
2015-05-26,425.470001,532.320007,124.14492
2015-05-22,427.630005,540.109985,126.941574
2015-05-21,431.630005,542.51001,125.840164
2015-05-20,423.859985,539.27002,124.566338
2015-05-19,421.709991,537.359985,124.575912
2015-05-18,425.23999,532.299988,124.690865
2015-05-15,426,533.849976,123.330833
2015-05-14,432.279999,538.400024,123.503227
2015-05-13,426.869995,529.619995,120.687416
2015-05-12,431.019989,529.039978,120.553329
2015-05-11,432.850006,535.700012,120.984306
2015-05-08,433.690002,538.219971,122.229424
2015-05-07,426.880005,530.700012,119.969086
2015-05-06,419.100006,524.219971,119.231606
2015-05-05,421.190002,530.799988,119.985092
2015-05-04,423.040009,540.780029,122.751053
2015-05-01,422.869995,537.900024,122.989487
2015-04-30,421.779999,537.340027,119.365135
2015-04-29,429.369995,549.080017,122.693825
2015-04-28,429.309998,553.679993,124.525078
2015-04-27,438.559998,555.369995,126.518456
2015-04-24,445.100006,563.512878,124.257996
2015-04-23,389.98999,545.502319,123.676208
2015-04-22,389.799988,537.888245,122.674751
2015-04-21,391.179993,532.507996,121.0438
2015-04-20,389.51001,533.914124,121.701889
2015-04-17,375.559998,522.615173,118.983627
2015-04-16,386.040009,532.33844,120.33799
2015-04-15,383.450012,531.07196,120.919792
2015-04-14,385.109985,528.937805,120.46199
2015-04-13,382.359985,537.693787,120.986565
2015-04-10,382.649994,538.531433,121.225006
2015-04-09,383.540009,539.299377,120.709961
2015-04-08,381.200012,540.127075,119.794342
2015-04-07,374.410004,535.549622,120.185402
2015-04-06,377.040009,535.295349,121.46344
2015-04-02,372.25,534.063721,119.527283
2015-04-01,370.26001,541.074463,118.506744
2015-03-31,372.100006,546.499573,118.678413
2015-03-30,374.589996,550.518555,120.528755
2015-03-27,370.559998,546.838684,117.552971
2015-03-26,367.350006,553.649963,118.497215
2015-03-25,370.959991,557.255066,117.676964
2015-03-24,374.089996,568.628845,120.833961
2015-03-23,375.109985,557.279968,121.329918
2015-03-20,378.48999,558.825745,120.080482
2015-03-19,373.23999,556.462219,121.606522
2015-03-18,375.140015,557.968079,122.531677
2015-03-17,371.920013,549.331787,121.16777
2015-03-16,373.350006,552.99176,119.174377
2015-03-13,370.579987,545.821472,117.877243
2015-03-12,374.23999,553.989014,118.697479
2015-03-11,366.369995,549.670898,116.589638
2015-03-10,369.51001,553.490417,118.754723
2015-03-09,378.559998,567.29248,121.263153
2015-03-06,380.089996,566.130676,120.748108
2015-03-05,387.829987,573.754761,120.56691
2015-03-04,382.720001,571.80011,122.598434
2015-03-03,384.609985,572.069397,123.380539
2015-03-02,385.660004,569.775696,123.123016
2015-02-27,380.160004,556.871094,122.522156
2015-02-26,384.799988,553.959106,124.391541
2015-02-25,385.369995,542.38092,122.836899
2015-02-24,378.589996,534.622192,126.060654
2015-02-23,380.140015,530.453613,126.85228
2015-02-20,383.660004,537.474365,123.514084
2015-02-19,379,541.383606,122.512596
2015-02-18,373.369995,538.22229,122.770134
2015-02-17,375.429993,541.353699,121.921249
2015-02-13,381.829987,547.506836,121.205933
2015-02-12,377.170013,541.443481,120.614594
2015-02-11,375.140015,534.502502,119.107613
2015-02-10,373,535.469849,116.379814
2015-02-09,370.559998,526.384827,114.186127
2015-02-06,374.279999,529.546143,113.43264
2015-02-05,373.890015,526.135498,114.395966
2015-02-04,364.75,521.328674,113.585258
2015-02-03,363.549988,527.790955,112.720718
2015-02-02,364.470001,527.03302,112.701721
2015-01-30,354.529999,533.056519,111.305183
2015-01-29,311.779999,509.26181,112.958244
2015-01-28,303.910004,508.603638,109.547638
2015-01-27,306.75,517.210022,103.685966
2015-01-26,309.660004,533.744629,107.448074
2015-01-23,312.390015,538.471619,107.334084
2015-01-22,310.320007,532.926819,106.783058
2015-01-21,297.25,516.621643,104.075485
2015-01-20,289.440002,505.512115,103.286957
2015-01-16,290.73999,506.688873,100.693382
2015-01-15,286.950012,500.416107,101.481903
2015-01-14,293.269989,499.498627,104.312988
2015-01-13,294.73999,494.821472,104.711998
2015-01-12,291.410004,491.201416,103.790474
2015-01-09,296.929993,494.811493,106.412552
2015-01-08,300.459991,501.30368,106.298531
2015-01-07,298.420013,499.727997,102.36544
2015-01-06,295.290009,500.585632,100.94989
2015-01-05,302.190002,512.463013,100.940392
2015-01-02,308.519989,523.373108,103.86647
2014-12-31,310.350006,524.95874,104.863991
2014-12-30,310.299988,528.967712,106.897041
2014-12-29,312.040009,528.877991,108.217598
2014-12-26,309.089996,532.56781,108.293594
2014-12-24,303.029999,527.322266,106.412552
2014-12-23,306.290009,529.137268,106.916069
2014-12-22,306.540009,523.432922,107.296066
2014-12-19,299.899994,514.936218,106.194031
2014-12-18,297.730011,509.700623,107.020561
2014-12-17,298.880005,503.507629,103.942474
2014-12-16,295.059998,494.03363,101.415398
2014-12-15,306.070007,512.39325,102.821449
2014-12-12,307.320007,517.239929,104.24649
2014-12-11,307.359985,526.893433,106.042046
2014-12-10,305.839996,524.619629,106.355537
2014-12-09,312.5,531.909668,108.417107
2014-12-08,306.640015,525.537109,106.783058
2014-12-05,312.630005,523.821838,109.253128
2014-12-04,316.929993,535.838867,109.718643
2014-12-03,316.5,529.865234,110.136658
2014-12-02,326.309998,532.288574,108.901619
2014-12-01,326,532.33844,109.319611
2014-11-28,338.640015,540.346497,112.986725
2014-11-26,333.570007,538.890503,113.053238
2014-11-25,335.040009,539.598511,111.72319
2014-11-24,335.640015,537.793518,112.701721
2014-11-21,332.630005,536.02832,110.649666
2014-11-20,330.540009,533.365662,110.497665
2014-11-19,326.540009,535.519714,108.939629
2014-11-18,324.929993,533.565125,109.699631
2014-11-17,323.049988,535.041016,108.293594
2014-11-14,327.820007,542.909424,108.474121
2014-11-13,316.480011,543.88678,107.182076
2014-11-12,311.51001,545.811462,105.690521
2014-11-11,312.01001,548.783325,104.217972
2014-11-10,305.109985,545.990967,103.391457
